	Sample1	Sample2	Sample3	Sample4
Gene924	-0.302769783	-1.932945694	-0.422731003	-0.472659232
Gene925	3.096977841	10.36480097	3.045138883	4.65300042
Gene926	2.975365878	9.774792983	2.895857864	4.316835334
Gene927	1.074276749	3.293138077	0.430299322	-1.244840078
Gene928	-0.987650688	-2.757980539	-0.910609712	-1.592939015
Gene929	0.173270782	0.786200316	0.245070757	0.350322404
Gene930	1.147449698	3.452369328	0.805454723	1.799189158
Gene931	-0.665289469	-0.58046226	-0.766701469	-2.104859052
Gene932	2.685830368	9.300509593	2.717470512	3.978156655
Gene933	2.078486809	6.826008681	2.087490962	2.779384842
Gene934	2.521486387	11.26661874	3.174346845	4.578867884
Gene935	-0.877609712	-4.95198744	-0.841738116	-3.379817606
Gene936	-0.701838795	-1.036718074	-0.457653544	-1.862477516
Gene937	0.410395425	1.583339688	0.421765391	2.609821048
Gene938	2.091862701	6.924248078	2.017256654	3.522535572
Gene939	1.785820988	5.728145106	1.791794314	3.49835264
Gene940	1.237416749	4.045591362	1.209692801	2.106782007
Gene941	-0.270504184	-2.400688498	-0.477129534	-1.236742613
Gene942	0.628351396	1.723986209	0.633947473	1.166941558
Gene943	-2.625629535	-9.81720432	-2.498374881	-3.723595095
Gene944	-3.215271927	-12.95760375	-4.881604156	-4.09328458
Gene945	-0.662987048	-1.691275592	-0.616395717	-0.372790748
Gene946	-0.070945657	-0.089345297	0.306432642	0.333698131
Gene947	2.319148731	5.993338057	2.288451791	3.429438634
Gene948	2.783733122	9.101576165	2.73390361	4.804077738
Gene949	1.574066028	5.58313593	1.6601744	2.117220772
Gene950	4.609693619	15.36212036	4.62376044	6.68437116
Gene951	0.557613691	2.39970386	0.681660958	2.373257124
Gene952	-1.240477918	-2.982304115	-1.376580688	-1.93029548
Gene953	2.056205552	6.870093686	1.975334666	2.882192663
Gene954	-0.760165531	-2.134302209	-0.523325732	-0.243880938
Gene955	0.173259194	0.419845728	0.165401259	0.305673645
Gene956	1.029617449	4.715576956	1.348288136	1.94338762
Gene957	2.470371379	7.665586868	2.241748111	3.998879958
Gene958	3.079642901	10.5779998	3.107280404	4.741447757
Gene959	2.102489937	6.576317824	2.020830875	3.689222469
Gene960	3.08419411	10.34540307	2.987215664	4.393106076
Gene961	1.367473778	6.146474176	1.883238457	3.060057031
Gene962	0.691657813	2.33694358	0.654801569	0.317328487
Gene963	3.737848089	12.10353102	3.72400637	6.310331946
Gene964	1.132686843	3.583004317	0.927297633	1.792058563
Gene965	1.544127403	5.821588595	1.629911853	1.876350702
Gene966	1.561654572	5.502713854	1.414363057	2.546174249
Gene967	-1.275579449	-3.623533508	-1.159407613	-3.46975892
Gene968	1.828095615	5.503775425	1.867998503	3.063994691
Gene969	1.298521026	3.900561839	1.301254148	2.412521754
Gene970	1.543273847	5.215811415	1.482472522	2.571009636
Gene971	-2.97770589	-9.319941637	-2.863845397	-4.39480363
Gene972	1.915071925	5.934475836	1.766207881	1.73273038
Gene973	0.982509023	2.652064908	0.784029759	1.185921284
Gene974	-1.696083554	-2.779777485	-1.27385836	-0.199529459
Gene975	0.543869681	1.827641134	0.431573154	-0.364571804
Gene976	-0.323653742	-1.206536712	-0.132410131	-1.249218428
Gene977	3.922823253	13.41135779	3.988847076	6.253143057
Gene978	4.110682279	13.79532212	4.084861048	6.414828685
Gene979	2.995208489	10.78219299	3.2492859	5.104674386
Gene980	3.525666411	11.92465691	3.522245205	5.280234282
Gene981	1.572151167	5.423385533	1.586666254	1.526669595
Gene982	2.177443998	7.487114408	2.120840928	3.107097837
Gene983	0.938530829	3.182298917	0.959146486	0.600040719
Gene984	-1.83007661	-5.705233114	-1.977665171	-3.166532338
Gene985	3.153212209	10.48781168	3.151518716	4.13943282
Gene986	0.665015675	1.835359959	0.524078759	1.397571692
Gene987	1.251864885	5.10083381	1.525734123	1.883661592
Gene988	1.914381401	6.410094784	1.883993399	2.860451212
Gene989	0.772103845	3.247677721	0.894294112	1.154714367
Gene990	2.635357405	8.96005054	2.599838483	3.83268011
Gene991	-2.749400288	-8.660051957	-2.639580148	-0.632775096
Gene992	1.906057711	5.82335707	1.749786559	1.699767105
Gene993	4.270080523	14.25384473	4.210731365	5.884036875
Gene994	1.80431672	6.172122873	1.805764525	2.752760238
Gene995	3.719741306	12.22689312	3.955028974	5.082706002
Gene996	-0.117471307	-0.384338238	-0.398459689	-0.429079816
Gene997	-2.314116434	-7.382845135	-2.74336579	-3.740820839
Gene998	0.241819352	-0.59349396	3.92E-05	-0.844758003
Gene999	1.914259495	6.551606332	1.802968824	2.151313646
Gene1000	-1.500130287	-6.017091777	-2.328007112	-0.752045673
